No.;Country;Gross capital formation (% of GDP);Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);Life expectancy at birth, total (years);Trade (% of GDP);Inflation, consumer prices (annual %);Foreign direct investment, net outflows (% of GDP);GDP per capita (current US$)
1;Albania;23,43928614;63,882;79,602;82,3524934;4,758345552;1,118615716;9730,869219
2;Algeria;37,61687651;41,507;76,261;43,73979845;9,322173759;0,066787817;5370,477235
3;Angola;12,30763186;74,892;64,617;53,03348363;13,64410178;0,031125184;2916,136633
4;Argentina;19,38226329;62,286;77,395;26,67695125;133,4889356;0,465502912;14261,84657
5;Armenia;22,94130545;59,987;77,46585366;123,4187501;1,980418776;0,222668696;8159,08721
6;Australia;23,87310425;67,023;83,05121951;49,04433932;5,597014925;0,7673528;65058,37731
7;Austria;26,0041364;60,853;81,54146341;115,1529148;7,81413417;1,619998857;56579,50418
8;Azerbaijan;17,74318516;64,345;74,429;83,53588612;8,785430498;2,589071652;7133,02838
9;Bahamas, The;22,86314852;74,13;74,552;76,54947516;3,05291579;1,475685652;38231,77448
10;Bahrain;29,16809887;70,7;81,284;157,4478547;0,074620678;2,409563636;29290,12842
11;Bangladesh;30,95120008;60,885;74,672;30,98297141;9,883503038;-0,000471552;2551,017738
12;Belarus;24,71167918;63,572;74,18378049;131,5846749;5,000599031;0,089547199;7896,753883
13;Belgium;25,31955523;54,407;82,39756098;165,8469465;4,049010776;-1,636536338;55291,47545
14;Belize;18,91120965;57,62;73,566;106,4005059;4,389840175;0,073879552;7424,758213
15;Benin;34,53066218;76,274;60,774;44,66313082;2,738700784;0,066129921;1394,177847
16;Bolivia;18,98353597;78,38;68,581;49,60832556;2,576888005;0,490147569;4274,708205
17;Bosnia and Herzegovina;27,04339975;49,428;77,85;99,6330318;6,105901128;0,423263178;8663,023265
18;Botswana;30,29587849;68,276;69,163;68,80335784;5,067615493;-0,016298667;7826,353765
19;Brazil;15,76064721;62,915;75,848;33,66622983;4,593562823;1,147665723;10377,58977
20;Bulgaria;19,78775263;56,896;75,70731707;119,899506;9,442841401;1,247210945;15853,20864
21;Burkina Faso;20,40191813;71,195;61,092;63,13268517;0,742910429;0,224183317;873,4825897
22;Cabo Verde;21,72510715;57,122;76,059;95,03249433;3,724375177;0,298388515;4794,901219
23;Cambodia;33,29447962;82,348;70,668;134,2068424;2,127467966;0,357643079;2429,748535
24;Cameroon;19,2850919;65,552;63,7;37,89033212;7,382813843;-0,162872827;1720,475102
25;Canada;23,89490117;65,361;81,64658537;66,63233134;3,879001598;4,0849289;54220,3285
26;Chile;23,36205501;61,521;81,167;60,72472369;7,581682514;2,612385416;17067,03648
27;China;41,12971025;65,83;77,953;36,10519237;0,234836829;1,235162274;12951,17824
28;Colombia;16,43968491;63,736;77,725;40,38813249;11,73590449;0,346389568;7000,836605
29;Congo, Rep.;25,21095599;67,897;65,772;96,2103944;4,301745636;0,172079981;2477,978455
30;Costa Rica;15,25659372;56,831;80,799;72,47199908;0,525193509;1,140911556;16942,02681
31;Cote d'Ivoire;24,54444788;67,129;61,944;48,81700391;4,369722549;0,596852247;2591,965905
32;Croatia;24,66593164;52,257;78,47317073;107,278314;7,941281776;1,596753702;22184,22793
33;Cyprus;21,47251986;67,945;81,648;190,7407884;3,541341888;-95,16778425;36623,69141
34;Czechia;28,21892109;60,434;79,87804878;131,8925983;10,66126014;2,448342246;31761,59441
35;Denmark;23,64461978;63,752;81,85365854;129,6253374;3,305178112;2,987434911;68043,5467
36;Dominican Republic;27,81456285;64,282;73,72;49,84361318;4,78561281;0,299112775;10630,43174
37;Egypt, Arab Rep.;16,49073399;44,669;71,633;40,45040077;33,88477631;0,098604266;3456,789685
38;El Salvador;20,68468249;61,56;72,099;81,71477234;4,045546942;-0,133102201;5365,444914
39;Estonia;25,24151239;65,604;78,4902439;154,5926171;9,15922508;5,318628763;30264,00649
40;Finland;22,9633349;60,275;81,68536585;85,56339061;6,250643222;-0,331653232;52834,29168
41;France;22,92787493;55,938;82,92926829;70,62614506;4,878357265;2,290476681;44700,13842
42;Gambia, The;27,44597498;47,549;65,86;39,96201732;16,97421296;-0,025567295;883,0241117
43;Georgia;24,99879452;64,042;74,496;107,1511792;2,487760566;1,535309398;8283,669607
44;Germany;21,99428343;61,05;80,54146341;81,96254838;5,946436677;2,264537883;54776,76682
45;Ghana;10,11677345;59,067;65,498;64,38786153;38,10696563;0,013664063;2383,904105
46;Greece;16,16828258;51,801;81,53658537;92,47108829;3,464801285;1,667323262;23343,7104
47;Guatemala;16,4754437;59,586;72,602;48,29707075;6,206575923;0,626933194;5758,327608
48;Guinea;23,4269897;52,812;60,74;95,82952676;7,804975919;0,088541326;1555,493758
49;Guinea-Bissau;25,16227349;64,796;64,085;40,47454529;7,102209286;0,014350012;988,0878864
50;Honduras;22,18643096;56,485;72,884;98,79197983;6,663251803;0,667504352;3227,457625
51;Hong Kong SAR, China;16,13969662;57,216;85,24731707;353,0075001;2,096605112;25,24323652;50562,36331
52;Hungary;26,03189463;60,61;76,77073171;158,3857475;17,12496597;-33,94672231;22230,62779
53;Iceland;25,15121177;74,748;82,60731707;87,40494191;8,736302999;1,095146113;82138,7893
54;India;33,36231036;54,697;72,003;44,99284229;5,649143189;0,381437636;2530,120313
55;Indonesia;30,34258647;67,899;71,146;41,33628687;3,669386549;0,519698621;4876,307745
56;Iran, Islamic Rep.;43,7728069;41,517;77,654;49,3935501;44,57918576;0,018942766;5049,299316
