Country,AverageYears,YearsOfSchooling,Population,HDI,Mathematics,Science,Reading,Boys,Girls,IQ
Albania,10.175311,14.6701,2827614,0.806,368.2217,375.96774,358.43475,359.06293,378.11514,95.45
Argentina,11.184582,18.83121,45407904,0.858,377.52902,406.19135,400.74405,383.03476,372.03882,93.47
Australia,12.87,20.65478,26200987,0.952,487.08426,507.00085,498.05093,492.7133,481.34256,101.96
Austria,12.361465,16.28428,9064678,0.927,487.2675,491.27097,480.40585,496.6009,477.54532,100.33
Belgium,12.689651,18.99603,11641814,0.945,489.48682,490.57834,478.85266,493.37115,485.7286,100.03
Brazil,8.425372,15.79271,210306411,0.78,378.69138,403.00122,410.357,382.76984,374.64868,92
Bulgaria,11.454531,15.31664,6825862,0.835,417.3039,420.99323,404.30374,414.66373,420.32513,100.21
Cambodia,5.1971,11.18842,17201721,0.602,336.39603,347.10416,328.84277,334.23004,338.2048,95.44
Canada,13.87,15.88826,38821259,0.935,496.9479,515.01666,507.1329,503.03662,490.71133,99.26
Chile,11.291054,16.91242,19553033,0.869,411.69656,443.5434,447.97894,419.6559,403.36914,93.6
Croatia,12.095121,16.34815,3907031,0.886,463.1052,482.66745,475.49893,466.24802,459.75385,98.01
Cyprus,12.557372,16.2156,1331376,0.908,418.30667,410.90253,381.0757,410.62997,426.32986,97.48
Czechia,12.963182,16.7935,10673216,0.911,486.9992,497.74203,488.60367,490.65738,483.23355,99.32
Denmark,13.027321,18.70401,5902901,0.959,489.27386,493.8157,488.801,494.99423,483.32324,96.81
Estonia,13.562166,15.96786,1350093,0.902,509.94696,525.81177,511.03033,513.00916,506.69025,96.97
Finland,12.979626,19.49409,5569300,0.946,484.13922,510.95886,490.21768,481.65552,486.7237,99.83
France,11.765668,16.09512,66277412,0.916,473.94443,487.22528,473.85217,478.93073,469.14087,97.46
Georgia,12.7,16.72683,3794782,0.838,390.02423,384.06744,373.85834,387.4693,392.75235,98.96
Germany,14.296371,17.30922,84086227,0.955,474.82645,492.42673,479.79404,480.41202,469.04053,101.06
Greece,11.553857,20.8455,10412481,0.897,430.14633,440.78607,438.4406,433.0575,427.14774,96.83
Hungary,12.331622,15.4694,9684308,0.867,472.77612,485.89017,472.97473,480.1987,465.34106,98.21
Iceland,13.908926,18.85059,380368,0.964,458.914,446.9671,435.923,460.5763,457.18365,98.12
Indonesia,8.697224,13.416175,278830527,0.726,365.52527,382.8634,358.56985,362.25262,368.63916,94.04
Ireland,11.724999,19.18488,5110015,0.947,491.6483,503.84555,516.00995,497.84567,485.1204,96.25
Israel,13.534595,14.93416,9103143,0.921,457.89667,464.75183,473.8327,463.43143,452.21875,96.9
Italy,10.828128,16.7142,59619106,0.905,471.25946,477.46338,481.59827,481.97507,460.91284,99.46
Japan,12.684047,15.51198,124997585,0.921,535.5793,546.63446,515.8546,540.06067,531.14746,108.14
Jordan,10.309999,13.04355,11256269,0.751,361.22803,374.5271,342.16583,353.47638,368.46002,96.88
Kazakhstan,12.547174,14.018861,20034612,0.831,425.43912,423.16605,386.28476,425.33615,425.54648,94.65
Latvia,13.40944,16.48265,1881059,0.881,483.15945,493.84277,474.56866,487.9616,478.4573,97.07
Lithuania,13.610692,16.45468,2816923,0.888,475.14676,484.4634,471.83423,477.7459,472.59616,95.73
Malaysia,11.09,12.519769,34695494,0.81,408.68744,416.30612,388.0878,403.45078,413.90387,99.07
Mexico,9.349511,14.46811,128613116,0.783,395.0299,409.8866,415.35895,401.44818,389.34753,94.45
Mongolia,9.42,13.637654,3386015,0.742,424.59314,412.38254,378.41986,421.8281,427.40274,102.5
Montenegro,12.773926,15.49247,614649,0.853,405.60117,403.13025,405.02045,405.4403,405.77054,97.58
Morocco,6.198,14.59442,37329068,0.704,364.76624,365.39807,339.36493,362.9123,366.67154,96.72
Netherlands,12.669947,18.58485,17904421,0.953,492.67563,488.31683,459.24292,497.85242,487.20282,99.7
New Zealand,12.882998,19.30005,5131731,0.933,479.0742,504.1293,500.853,484.1678,473.7963,99.35
North Macedonia,10.23,14.78144,1840236,0.811,388.5755,379.8751,358.52213,385.52554,391.90268,98.21
Norway,13.117962,18.79285,5456796,0.967,468.44995,478.22647,476.52386,468.12897,468.78882,97.41
Peru,10.154652,14.909393,33475436,0.79,391.23578,407.77777,408.24786,398.82236,383.65448,96.83
Philippines,9.97724,12.819047,113964343,0.714,354.71973,356.1673,346.5474,347.53537,361.71707,95.39
Poland,13.208543,16.67828,38385734,0.902,488.96005,499.16437,488.71362,491.67908,486.1626,98.66
Portugal,9.703255,17.48682,10417074,0.883,471.91052,484.37347,476.58862,477.16522,466.5158,99.2
Qatar,10.77,13.14116,2892466,0.883,414.10623,432.40253,419.30426,410.1642,418.10458,94.41
Romania,11.55,14.05288,19166776,0.84,427.76,427.5111,428.496,430.28415,425.21957,93.86
Saudi Arabia,11.606428,16.94943,32175351,0.893,388.78162,390.3876,382.55106,389.76157,387.84473,94.7
Serbia,11.641718,15.04216,6791215,0.826,439.87668,447.46066,440.35498,445.2533,434.30774,99.74
Singapore,11.99,16.74228,5649888,0.942,574.6638,561.4333,542.55334,580.59344,568.4881,104.75
Slovakia,13.103204,14.94685,5473195,0.873,463.99463,462.26947,446.8606,464.63968,463.2709,98.66
Slovenia,12.951202,17.47717,2115231,0.926,484.52902,499.96487,468.536,483.70145,485.40277,101.05
South Korea,12.7221985,16.61864,51782515,0.928,527.3025,527.82245,515.4154,529.72235,524.64233,107
Spain,10.7561245,17.83031,47828386,0.911,473.1402,484.53366,474.3071,478.1631,468.01498,98.96
Sweden,12.740326,18.99147,10487335,0.959,481.76605,493.54932,486.97516,482.8345,480.66458,99.17
Switzerland,13.949121,16.66753,8792180,0.966,507.9906,502.52325,483.33173,513.35223,502.47095,100.74
Thailand,9.04,15.358835,71735321,0.792,393.94534,409.2643,378.663,390.83435,396.82892,98.32
Turkey,8.986243,19.8308,87058469,0.853,453.15176,475.9378,456.08405,456.03345,450.2904,97.13
Ukraine,11.122739,13.32801,41048768,0.772,440.8453,450.18723,427.52695,445.8129,435.8895,94.78
United Arab Emirates,12.99,14.90782,10242085,0.921,431.11047,431.97946,417.34976,427.65567,434.74857,97.01
United Kingdom,13.49,17.81107,68179315,0.946,488.9751,499.67023,494.40463,496.04343,481.67358,99.05
United States,13.91,15.923,341534041,0.93,464.88803,499.41406,503.93756,471.40854,458.13904,99.9
Uruguay,10.54,17.48396,3390913,0.852,408.71207,435.38477,430.3597,414.08438,403.20218,96.13
Uzbekistan,11.91,12.46087,34938953,0.737,363.93536,354.86356,335.5049,366.9073,360.86557,95.24
